,tail,head,existing_f,fullname,fromname,toname,start,end,line,path_codes,dist,geometry
762,832,492,Protected Bike Lane,LARIMER ST,CHERRY CREEK CONNECTOR,14TH STREET/TRAFFIC SIGNAL,POINT (-104.9998 39.7473),POINT (-105.001299992917 39.7478640014827),"LINESTRING (-104.9998 39.7473, -105.001299992917 39.7478640014827)",3,220.8,"LINESTRING (-104.9998 39.7473, -105.001299992917 39.7478640014827)"
763,126,232,Bike Lane,E YALE AVE,S SYRACUSE WAY/COLI,S QUEBEC ST,POINT (-104.9035 39.6676),POINT (-104.893789999763 39.6674400001411),"LINESTRING (-104.9035 39.6676, -104.893789999763 39.6674400001411)",0,1289.22,"LINESTRING (-104.9035 39.6676, -104.893789999763 39.6674400001411)"
764,834,217,Bike Lane,E 12TH AVE,N MADISON ST,N CLAYTON ST,POINT (-104.9523 39.7351),POINT (-104.9506 39.7351),"LINESTRING (-104.9523 39.7351, -104.9506 39.7351)",0,225.1,"LINESTRING (-104.9523 39.7351, -104.9506 39.7351)"
765,217,235,Bike Lane,E 12TH AVE,N MADISON ST,N CLAYTON ST,POINT (-104.9506 39.7351),POINT (-104.9484 39.7351),"LINESTRING (-104.9506 39.7351, -104.9484 39.7351)",0,291.31,"LINESTRING (-104.9506 39.7351, -104.9484 39.7351)"
766,835,753,Bike Lane,N SYRACUSE ST,E 35TH AVE,E 32ND AVE,POINT (-104.898925000145 39.7618000000402),POINT (-104.8988 39.7652),"LINESTRING (-104.898925000145 39.7618000000402, -104.8988 39.7652)",0,583.1,"LINESTRING (-104.898925000145 39.7618000000402, -104.8988 39.7652)"
767,605,836,Bike Lane,S FRANKLIN ST,E LOUISIANA AVE,E BUCHTEL BLVD/RAMP,POINT (-104.9687 39.693),POINT (-104.9687 39.6875),"LINESTRING (-104.9687 39.693, -104.9687 39.6875)",0,944.06,"LINESTRING (-104.9687 39.693, -104.9687 39.6875)"
768,836,33,Bike Lane,S FRANKLIN ST,E LOUISIANA AVE,E BUCHTEL BLVD/RAMP,POINT (-104.9687 39.6875),POINT (-104.9687 39.6869),"LINESTRING (-104.9687 39.6875, -104.9687 39.6869)",0,102.99,"LINESTRING (-104.9687 39.6875, -104.9687 39.6869)"
769,201,837,Shared Use Path,E ALAMEDA AVE,E FAIRMOUNT DR,S GALENA WAY/COLI,POINT (-104.892833333462 39.7112666667048),POINT (-104.8788 39.708),"LINESTRING (-104.892833333462 39.7112666667048, -104.8788 39.708)",5,1942.82,"LINESTRING (-104.892833333462 39.7112666667048, -104.8788 39.708)"
770,837,203,Shared Use Path,E ALAMEDA AVE,E FAIRMOUNT DR,S GALENA WAY/COLI,POINT (-104.8788 39.708),POINT (-104.8707 39.7101),"LINESTRING (-104.8788 39.708, -104.8707 39.7101)",5,1132.62,"LINESTRING (-104.8788 39.708, -104.8707 39.7101)"
771,589,838,Shared Use Path,E CHERRY CREEK NORTH DR SHARED USE SIDEWALK,GARLAND GREENDBELT TRAIL,S HOLLY ST,POINT (-104.917699999288 39.6946500003931),POINT (-104.920303564459 39.6959035751827),"LINESTRING (-104.917699999288 39.6946500003931, -104.920303564459 39.6959035751827)",5,406.82,"LINESTRING (-104.917699999288 39.6946500003931, -104.920303564459 39.6959035751827)"
772,15,676,Shared Use Path,WELLINGTON WEBB SHARED SIDEWALK,W COLFAX AVE/N BANNOCK ST,15TH ST,POINT (-104.990200000145 39.7401500001716),POINT (-104.98895 39.7409000000107),"LINESTRING (-104.990200000145 39.7401500001716, -104.98895 39.7409000000107)",5,209.56,"LINESTRING (-104.990200000145 39.7401500001716, -104.98895 39.7409000000107)"
773,200,839,Shared Use Path,E FAIRMOUNT DR,E ALAMEDA AVE,E LOWRY BLVD/TRAF CIR,POINT (-104.89545999964 39.7173200001304),POINT (-104.893 39.7134),"LINESTRING (-104.89545999964 39.7173200001304, -104.893 39.7134)",5,747.5,"LINESTRING (-104.89545999964 39.7173200001304, -104.893 39.7134)"
774,839,840,Shared Use Path,E FAIRMOUNT DR,E ALAMEDA AVE,E LOWRY BLVD/TRAF CIR,POINT (-104.893 39.7134),POINT (-104.8927 39.7125),"LINESTRING (-104.893 39.7134, -104.8927 39.7125)",5,159.48,"LINESTRING (-104.893 39.7134, -104.8927 39.7125)"
775,840,201,Shared Use Path,E FAIRMOUNT DR,E ALAMEDA AVE,E LOWRY BLVD/TRAF CIR,POINT (-104.8927 39.7125),POINT (-104.892833333462 39.7112666667048),"LINESTRING (-104.8927 39.7125, -104.892833333462 39.7112666667048)",5,212.39,"LINESTRING (-104.8927 39.7125, -104.892833333462 39.7112666667048)"
776,66,842,Shared Roadway,S RALEIGH ST,W WALSH PL,W LOUISIANA AVE,POINT (-105.0424 39.7035),POINT (-105.0424 39.7011),"LINESTRING (-105.0424 39.7035, -105.0424 39.7011)",4,411.77,"LINESTRING (-105.0424 39.7035, -105.0424 39.7011)"
777,842,843,Shared Roadway,S RALEIGH ST,W WALSH PL,W LOUISIANA AVE,POINT (-105.0424 39.7011),POINT (-105.0424 39.7004),"LINESTRING (-105.0424 39.7011, -105.0424 39.7004)",4,120.1,"LINESTRING (-105.0424 39.7011, -105.0424 39.7004)"
778,844,807,Shared Roadway,E 12TH AVE,N YOSEMITE ST/COLI,N MONACO STREET PKWY,POINT (-104.8988 39.7356),POINT (-104.8847 39.7356),"LINESTRING (-104.8988 39.7356, -104.8847 39.7356)",4,1867.3,"LINESTRING (-104.8988 39.7356, -104.8847 39.7356)"
779,743,368,Shared Roadway,E 44TH AVE,N STEELE ST,N CLAYTON ST,POINT (-104.9541 39.7777),POINT (-104.9498 39.7777),"LINESTRING (-104.9541 39.7777, -104.9498 39.7777)",4,568.54,"LINESTRING (-104.9541 39.7777, -104.9498 39.7777)"
780,151,845,Shared Roadway,S XAVIER ST,W FLORIDA AVE,W COLORADO AVE,POINT (-105.05 39.6895),POINT (-105.05 39.6839),"LINESTRING (-105.05 39.6895, -105.05 39.6839)",4,961.07,"LINESTRING (-105.05 39.6895, -105.05 39.6839)"
781,612,846,Shared Roadway,N CHEROKEE ST,W 1ST AVE,W BAYAUD AVE,POINT (-104.9922 39.7148),POINT (-104.9921 39.7184),"LINESTRING (-104.9922 39.7148, -104.9921 39.7184)",4,617.71,"LINESTRING (-104.9922 39.7148, -104.9921 39.7184)"
782,847,846,Shared Roadway,E 1ST AVE,N CORONA ST/CONNECTING RD,N GALAPAGO ST,POINT (-104.9964 39.7184),POINT (-104.9921 39.7184),"LINESTRING (-104.9964 39.7184, -104.9921 39.7184)",4,569.63,"LINESTRING (-104.9964 39.7184, -104.9921 39.7184)"
783,846,179,Shared Roadway,E 1ST AVE,N CORONA ST/CONNECTING RD,N GALAPAGO ST,POINT (-104.9921 39.7184),POINT (-104.9908 39.7184),"LINESTRING (-104.9921 39.7184, -104.9908 39.7184)",4,172.22,"LINESTRING (-104.9921 39.7184, -104.9908 39.7184)"
784,179,848,Shared Roadway,E 1ST AVE,N CORONA ST/CONNECTING RD,N GALAPAGO ST,POINT (-104.9908 39.7184),POINT (-104.9832 39.7183),"LINESTRING (-104.9908 39.7184, -104.9832 39.7183)",4,1006.96,"LINESTRING (-104.9908 39.7184, -104.9832 39.7183)"
785,848,103,Shared Roadway,E 1ST AVE,N CORONA ST/CONNECTING RD,N GALAPAGO ST,POINT (-104.9832 39.7183),POINT (-104.9814 39.7183),"LINESTRING (-104.9832 39.7183, -104.9814 39.7183)",4,238.46,"LINESTRING (-104.9832 39.7183, -104.9814 39.7183)"
786,103,139,Shared Roadway,E 1ST AVE,N CORONA ST/CONNECTING RD,N GALAPAGO ST,POINT (-104.9814 39.7183),POINT (-104.9791 39.7183),"LINESTRING (-104.9814 39.7183, -104.9791 39.7183)",4,304.7,"LINESTRING (-104.9814 39.7183, -104.9791 39.7183)"
787,139,849,Shared Roadway,E 1ST AVE,N CORONA ST/CONNECTING RD,N GALAPAGO ST,POINT (-104.9791 39.7183),POINT (-104.9775 39.7183),"LINESTRING (-104.9791 39.7183, -104.9775 39.7183)",4,211.97,"LINESTRING (-104.9791 39.7183, -104.9775 39.7183)"
788,849,554,Shared Roadway,E 1ST AVE,N CORONA ST/CONNECTING RD,N GALAPAGO ST,POINT (-104.9775 39.7183),POINT (-104.9769 39.7183),"LINESTRING (-104.9775 39.7183, -104.9769 39.7183)",4,79.49,"LINESTRING (-104.9775 39.7183, -104.9769 39.7183)"
789,554,850,Shared Roadway,E 1ST AVE,N CORONA ST/CONNECTING RD,N GALAPAGO ST,POINT (-104.9769 39.7183),POINT (-104.9746 39.7183),"LINESTRING (-104.9769 39.7183, -104.9746 39.7183)",4,304.7,"LINESTRING (-104.9769 39.7183, -104.9746 39.7183)"
790,851,852,Shared Roadway,E 29TH AVE,N QUEBEC ST,N DOWNING ST,POINT (-104.9709 39.7582),POINT (-104.9684 39.7582),"LINESTRING (-104.9709 39.7582, -104.9684 39.7582)",4,330.75,"LINESTRING (-104.9709 39.7582, -104.9684 39.7582)"
791,852,90,Shared Roadway,E 29TH AVE,N QUEBEC ST,N DOWNING ST,POINT (-104.9684 39.7582),POINT (-104.9499 39.7582),"LINESTRING (-104.9684 39.7582, -104.9499 39.7582)",4,2447.63,"LINESTRING (-104.9684 39.7582, -104.9499 39.7582)"
792,90,108,Shared Roadway,E 29TH AVE,N QUEBEC ST,N DOWNING ST,POINT (-104.9499 39.7582),POINT (-104.9317 39.7583),"LINESTRING (-104.9499 39.7582, -104.9317 39.7583)",4,2408.12,"LINESTRING (-104.9499 39.7582, -104.9317 39.7583)"
793,108,734,Shared Roadway,E 29TH AVE,N QUEBEC ST,N DOWNING ST,POINT (-104.9317 39.7583),POINT (-104.9176 39.7584),"LINESTRING (-104.9317 39.7583, -104.9176 39.7584)",4,1865.74,"LINESTRING (-104.9317 39.7583, -104.9176 39.7584)"
794,734,122,Shared Roadway,E 29TH AVE,N QUEBEC ST,N DOWNING ST,POINT (-104.9176 39.7584),POINT (-104.9164 39.7584),"LINESTRING (-104.9176 39.7584, -104.9164 39.7584)",4,158.78,"LINESTRING (-104.9176 39.7584, -104.9164 39.7584)"
795,122,211,Shared Roadway,E 29TH AVE,N QUEBEC ST,N DOWNING ST,POINT (-104.9164 39.7584),POINT (-104.9058 39.7584),"LINESTRING (-104.9164 39.7584, -104.9058 39.7584)",4,1402.61,"LINESTRING (-104.9164 39.7584, -104.9058 39.7584)"
796,211,270,Shared Roadway,E 29TH AVE,N QUEBEC ST,N DOWNING ST,POINT (-104.9058 39.7584),POINT (-104.903449999855 39.7582000000107),"LINESTRING (-104.9058 39.7584, -104.903449999855 39.7582000000107)",4,312.85,"LINESTRING (-104.9058 39.7584, -104.903449999855 39.7582000000107)"
797,853,854,Shared Roadway,S CHERRY ST,LEETSDALE DR,E MISSISSIPPI AVE,POINT (-104.933350000109 39.7095500000107),POINT (-104.9335 39.7053),"LINESTRING (-104.933350000109 39.7095500000107, -104.9335 39.7053)",4,729.6,"LINESTRING (-104.933350000109 39.7095500000107, -104.9335 39.7053)"
798,854,855,Shared Roadway,S CHERRY ST,LEETSDALE DR,E MISSISSIPPI AVE,POINT (-104.9335 39.7053),POINT (-104.9342 39.7038),"LINESTRING (-104.9335 39.7053, -104.9342 39.7038)",4,273.64,"LINESTRING (-104.9335 39.7053, -104.9342 39.7038)"
799,855,79,Shared Roadway,S CHERRY ST,LEETSDALE DR,E MISSISSIPPI AVE,POINT (-104.9342 39.7038),POINT (-104.934 39.6966),"LINESTRING (-104.9342 39.7038, -104.934 39.6966)",4,1236.02,"LINESTRING (-104.9342 39.7038, -104.934 39.6966)"
800,56,370,Shared Roadway,N OGDEN ST,E COLFAX AVE,E 3RD AVE,POINT (-104.9752 39.7201),POINT (-104.9753 39.7273),"LINESTRING (-104.9752 39.7201, -104.9753 39.7273)",4,1235.09,"LINESTRING (-104.9752 39.7201, -104.9753 39.7273)"
801,370,413,Shared Roadway,N OGDEN ST,E COLFAX AVE,E 3RD AVE,POINT (-104.9753 39.7273),POINT (-104.9753 39.7337),"LINESTRING (-104.9753 39.7273, -104.9753 39.7337)",4,1097.64,"LINESTRING (-104.9753 39.7273, -104.9753 39.7337)"
802,413,856,Shared Roadway,N OGDEN ST,E COLFAX AVE,E 3RD AVE,POINT (-104.9753 39.7337),POINT (-104.9753 39.74),"LINESTRING (-104.9753 39.7337, -104.9753 39.74)",4,1080.36,"LINESTRING (-104.9753 39.7337, -104.9753 39.74)"
803,352,555,Shared Roadway,DENVER ZOO RD,DENVER ZOO RD,DENVER ZOO RD,POINT (-104.954533333108 39.7459333336003),POINT (-104.956649999891 39.7450500000965),"LINESTRING (-104.954533333108 39.7459333336003, -104.956649999891 39.7450500000965)",4,318.49,"LINESTRING (-104.954533333108 39.7459333336003, -104.956649999891 39.7450500000965)"
804,730,857,Shared Roadway,E QUINCY AVE,E EASTMOOR DR/S QUEBEC ST,E HAPPY CANYON RD/S MONACO ST,POINT (-104.9125 39.6381),POINT (-104.9061 39.6387),"LINESTRING (-104.9125 39.6381, -104.9061 39.6387)",4,856.6,"LINESTRING (-104.9125 39.6381, -104.9061 39.6387)"
805,857,731,Shared Roadway,E QUINCY AVE,E EASTMOOR DR/S QUEBEC ST,E HAPPY CANYON RD/S MONACO ST,POINT (-104.9061 39.6387),POINT (-104.904 39.6387),"LINESTRING (-104.9061 39.6387, -104.904 39.6387)",4,279.03,"LINESTRING (-104.9061 39.6387, -104.904 39.6387)"
806,858,5,Shared Roadway,N WOLFF ST,W 17TH AVE,W WELLS PL,POINT (-105.0487 39.7355),POINT (-105.0487 39.744),"LINESTRING (-105.0487 39.7355, -105.0487 39.744)",4,1457.23,"LINESTRING (-105.0487 39.7355, -105.0487 39.744)"
807,663,761,Shared Roadway,N LAFAYETTE ST,E 29TH AVE,E 21ST AVE,POINT (-104.9709 39.7482),POINT (-104.9709 39.7495),"LINESTRING (-104.9709 39.7482, -104.9709 39.7495)",4,222.88,"LINESTRING (-104.9709 39.7482, -104.9709 39.7495)"
808,761,859,Shared Roadway,N LAFAYETTE ST,E 29TH AVE,E 21ST AVE,POINT (-104.9709 39.7495),POINT (-104.9709 39.7532),"LINESTRING (-104.9709 39.7495, -104.9709 39.7532)",4,634.32,"LINESTRING (-104.9709 39.7495, -104.9709 39.7532)"
809,859,851,Shared Roadway,N LAFAYETTE ST,E 29TH AVE,E 21ST AVE,POINT (-104.9709 39.7532),POINT (-104.9709 39.7582),"LINESTRING (-104.9709 39.7532, -104.9709 39.7582)",4,857.12,"LINESTRING (-104.9709 39.7532, -104.9709 39.7582)"
810,543,566,Shared Roadway,S CLERMONT ST,N CLERMONT ST/E ELLSWORTH AVE,E BAYAUD AVE,POINT (-104.9351 39.7162),POINT (-104.9351 39.7147),"LINESTRING (-104.9351 39.7162, -104.9351 39.7147)",4,257.37,"LINESTRING (-104.9351 39.7162, -104.9351 39.7147)"
811,493,229,Shared Roadway,WYNKOOP ST,BGN,15TH ST,POINT (-105.003366666763 39.7500000000667),POINT (-105.0021 39.751),"LINESTRING (-105.003366666763 39.7500000000667, -105.0021 39.751)",4,239.75,"LINESTRING (-105.003366666763 39.7500000000667, -105.0021 39.751)"
812,302,860,Shared Roadway,N ELIOT ST,W 29TH AVE,W 20TH AVE/NAME CHG,POINT (-105.0236 39.7512),POINT (-105.0236 39.7585),"LINESTRING (-105.0236 39.7512, -105.0236 39.7585)",4,1251.22,"LINESTRING (-105.0236 39.7512, -105.0236 39.7585)"
813,69,861,Shared Roadway,S DELAWARE ST,W ILIFF AVE,W YALE AVE,POINT (-104.9923 39.6749),POINT (-104.9923 39.6677),"LINESTRING (-104.9923 39.6749, -104.9923 39.6677)",4,1236.24,"LINESTRING (-104.9923 39.6749, -104.9923 39.6677)"
814,852,862,Shared Roadway,N FRANKLIN ST,E BRUCE RANDOLPH AVE,E 29TH AVE,POINT (-104.9684 39.7582),POINT (-104.9684 39.7607),"LINESTRING (-104.9684 39.7582, -104.9684 39.7607)",4,428.53,"LINESTRING (-104.9684 39.7582, -104.9684 39.7607)"
815,862,863,Shared Roadway,N FRANKLIN ST,E BRUCE RANDOLPH AVE,E 29TH AVE,POINT (-104.9684 39.7607),POINT (-104.9684 39.762),"LINESTRING (-104.9684 39.7607, -104.9684 39.762)",4,222.83,"LINESTRING (-104.9684 39.7607, -104.9684 39.762)"
816,357,83,Shared Roadway,S BRYANT ST,N BRYANT WAY/W ELLSWORTH AVE,W CEDAR AVE,POINT (-105.0184 39.7169),POINT (-105.018 39.713),"LINESTRING (-105.0184 39.7169, -105.018 39.713)",4,671.1,"LINESTRING (-105.0184 39.7169, -105.018 39.713)"
817,864,246,Shared Roadway,E EXPOSITION AVE,S COLUMBINE ST,S FRANKLIN ST,POINT (-104.9669 39.7039),POINT (-104.9594 39.7039),"LINESTRING (-104.9669 39.7039, -104.9594 39.7039)",4,994.13,"LINESTRING (-104.9669 39.7039, -104.9594 39.7039)"
818,847,865,Shared Roadway,N GALAPAGO ST,W 11TH AVE,W 1ST AVE,POINT (-104.9964 39.7184),POINT (-104.9965 39.733),"LINESTRING (-104.9964 39.7184, -104.9965 39.733)",4,2504.12,"LINESTRING (-104.9964 39.7184, -104.9965 39.733)"
819,865,662,Shared Roadway,N GALAPAGO ST,W 11TH AVE,W 1ST AVE,POINT (-104.9965 39.733),POINT (-104.9965 39.7337),"LINESTRING (-104.9965 39.733, -104.9965 39.7337)",4,120.04,"LINESTRING (-104.9965 39.733, -104.9965 39.7337)"
820,602,642,Shared Roadway,W 10TH AVE,N DECATUR ST,N SHERIDAN BLVD,POINT (-105.0217 39.733),POINT (-105.0275 39.7329),"LINESTRING (-105.0217 39.733, -105.0275 39.7329)",4,768.08,"LINESTRING (-105.0217 39.733, -105.0275 39.7329)"
821,642,819,Shared Roadway,W 10TH AVE,N DECATUR ST,N SHERIDAN BLVD,POINT (-105.0275 39.7329),POINT (-105.0321 39.7329),"LINESTRING (-105.0275 39.7329, -105.0321 39.7329)",4,609.01,"LINESTRING (-105.0275 39.7329, -105.0321 39.7329)"
822,819,745,Shared Roadway,W 10TH AVE,N DECATUR ST,N SHERIDAN BLVD,POINT (-105.0321 39.7329),POINT (-105.039450000036 39.7329500000107),"LINESTRING (-105.0321 39.7329, -105.039450000036 39.7329500000107)",4,973.11,"LINESTRING (-105.0321 39.7329, -105.039450000036 39.7329500000107)"
823,745,866,Shared Roadway,W 10TH AVE,N DECATUR ST,N SHERIDAN BLVD,POINT (-105.039450000036 39.7329500000107),POINT (-105.0504 39.7331),"LINESTRING (-105.039450000036 39.7329500000107, -105.0504 39.7331)",4,1449.86,"LINESTRING (-105.039450000036 39.7329500000107, -105.0504 39.7331)"
824,866,867,Shared Roadway,W 10TH AVE,N DECATUR ST,N SHERIDAN BLVD,POINT (-105.0504 39.7331),POINT (-105.0532 39.7331),"LINESTRING (-105.0504 39.7331, -105.0532 39.7331)",4,370.67,"LINESTRING (-105.0504 39.7331, -105.0532 39.7331)"
825,868,120,Bike Lane,E 23RD AVE,N KEARNEY ST,N QUEBEC ST,POINT (-104.9034 39.751),POINT (-104.9163 39.7511),"LINESTRING (-104.9034 39.751, -104.9163 39.7511)",0,1707.47,"LINESTRING (-104.9034 39.751, -104.9163 39.7511)"
826,120,669,Bike Lane,E 23RD AVE,N KEARNEY ST,N QUEBEC ST,POINT (-104.9163 39.7511),POINT (-104.9175 39.7511),"LINESTRING (-104.9163 39.7511, -104.9175 39.7511)",0,158.82,"LINESTRING (-104.9163 39.7511, -104.9175 39.7511)"
827,869,525,Bike Lane,BLAKE ST,N BROADWAY,40TH ST,POINT (-104.9877 39.7594),POINT (-104.9871 39.7599),"LINESTRING (-104.9877 39.7594, -104.9871 39.7599)",0,116.81,"LINESTRING (-104.9877 39.7594, -104.9871 39.7599)"
828,525,870,Bike Lane,BLAKE ST,N BROADWAY,40TH ST,POINT (-104.9871 39.7599),POINT (-104.9706 39.7726),"LINESTRING (-104.9871 39.7599, -104.9706 39.7726)",0,3082.19,"LINESTRING (-104.9871 39.7599, -104.9706 39.7726)"
829,580,871,Trail,WESTERLY CREEK TRAIL,MONTVIEW BLVD,SAND CREEK TRAIL,POINT (-104.879749999782 39.7473000000965),POINT (-104.8799 39.7481),"LINESTRING (-104.879749999782 39.7473000000965, -104.8799 39.7481)",6,138.63,"LINESTRING (-104.879749999782 39.7473000000965, -104.8799 39.7481)"
830,871,42,Trail,WESTERLY CREEK TRAIL,MONTVIEW BLVD,SAND CREEK TRAIL,POINT (-104.8799 39.7481),POINT (-104.886035094613 39.7543328252053),"LINESTRING (-104.8799 39.7481, -104.886035094613 39.7543328252053)",6,1342.32,"LINESTRING (-104.8799 39.7481, -104.886035094613 39.7543328252053)"
831,42,872,Trail,WESTERLY CREEK TRAIL,MONTVIEW BLVD,SAND CREEK TRAIL,POINT (-104.886035094613 39.7543328252053),POINT (-104.876475000127 39.763850000008),"LINESTRING (-104.886035094613 39.7543328252053, -104.876475000127 39.763850000008)",6,2064.73,"LINESTRING (-104.886035094613 39.7543328252053, -104.876475000127 39.763850000008)"
832,872,873,Trail,WESTERLY CREEK TRAIL,MONTVIEW BLVD,SAND CREEK TRAIL,POINT (-104.876475000127 39.763850000008),POINT (-104.876349999927 39.7648000000107),"LINESTRING (-104.876475000127 39.763850000008, -104.876349999927 39.7648000000107)",6,163.71,"LINESTRING (-104.876475000127 39.763850000008, -104.876349999927 39.7648000000107)"
833,873,874,Trail,WESTERLY CREEK TRAIL,MONTVIEW BLVD,SAND CREEK TRAIL,POINT (-104.876349999927 39.7648000000107),POINT (-104.876775000327 39.7657000000509),"LINESTRING (-104.876349999927 39.7648000000107, -104.876775000327 39.7657000000509)",6,164.22,"LINESTRING (-104.876349999927 39.7648000000107, -104.876775000327 39.7657000000509)"
834,736,875,Shared Roadway,E SMITH RD,N QUEBEC ST,N ALBION ST,POINT (-104.9176 39.7738),POINT (-104.9028 39.7717),"LINESTRING (-104.9176 39.7738, -104.9028 39.7717)",4,1990.21,"LINESTRING (-104.9176 39.7738, -104.9028 39.7717)"
835,876,877,Bike Lane,E 11TH AVE,N QUINCE ST,N YOSEMITE ST,POINT (-104.902 39.7329),POINT (-104.8987 39.7329),"LINESTRING (-104.902 39.7329, -104.8987 39.7329)",0,437.06,"LINESTRING (-104.902 39.7329, -104.8987 39.7329)"
836,877,40,Bike Lane,E 11TH AVE,N QUINCE ST,N YOSEMITE ST,POINT (-104.8987 39.7329),POINT (-104.8847 39.7328),"LINESTRING (-104.8987 39.7329, -104.8847 39.7328)",0,1854.32,"LINESTRING (-104.8987 39.7329, -104.8847 39.7328)"
837,16,312,Protected Bike Lane,14TH ST,MARKET ST,COURT PL,POINT (-104.9911 39.7406),POINT (-104.992 39.7413),"LINESTRING (-104.9911 39.7406, -104.992 39.7413)",3,169.11,"LINESTRING (-104.9911 39.7406, -104.992 39.7413)"
838,312,28,Protected Bike Lane,14TH ST,MARKET ST,COURT PL,POINT (-104.992 39.7413),POINT (-104.9929 39.742),"LINESTRING (-104.992 39.7413, -104.9929 39.742)",3,169.11,"LINESTRING (-104.992 39.7413, -104.9929 39.742)"
839,28,579,Protected Bike Lane,14TH ST,MARKET ST,COURT PL,POINT (-104.9929 39.742),POINT (-104.9937 39.7427),"LINESTRING (-104.9929 39.742, -104.9937 39.7427)",3,160.06,"LINESTRING (-104.9929 39.742, -104.9937 39.7427)"
840,579,878,Protected Bike Lane,14TH ST,MARKET ST,COURT PL,POINT (-104.9937 39.7427),POINT (-104.9964 39.7447),"LINESTRING (-104.9937 39.7427, -104.9964 39.7447)",3,495.27,"LINESTRING (-104.9937 39.7427, -104.9964 39.7447)"
841,878,757,Protected Bike Lane,14TH ST,MARKET ST,COURT PL,POINT (-104.9964 39.7447),POINT (-104.998 39.746),"LINESTRING (-104.9964 39.7447, -104.998 39.746)",3,307.44,"LINESTRING (-104.9964 39.7447, -104.998 39.746)"
842,757,754,Protected Bike Lane,14TH ST,MARKET ST,COURT PL,POINT (-104.998 39.746),POINT (-104.999 39.7467),"LINESTRING (-104.998 39.746, -104.999 39.7467)",3,178.65,"LINESTRING (-104.998 39.746, -104.999 39.7467)"
843,754,832,Protected Bike Lane,14TH ST,MARKET ST,COURT PL,POINT (-104.999 39.7467),POINT (-104.9998 39.7473),"LINESTRING (-104.999 39.7467, -104.9998 39.7473)",3,147.61,"LINESTRING (-104.999 39.7467, -104.9998 39.7473)"
844,403,878,Bike Lane,CHAMPA ST,19TH ST,N SPEER BLVD,POINT (-104.99966398726 39.7422800019868),POINT (-104.9964 39.7447),"LINESTRING (-104.99966398726 39.7422800019868, -104.9964 39.7447)",0,598.99,"LINESTRING (-104.99966398726 39.7422800019868, -104.9964 39.7447)"
845,878,290,Bike Lane,CHAMPA ST,19TH ST,N SPEER BLVD,POINT (-104.9964 39.7447),POINT (-104.995399999565 39.7457500001716),"LINESTRING (-104.9964 39.7447, -104.995399999565 39.7457500001716)",0,223.44,"LINESTRING (-104.9964 39.7447, -104.995399999565 39.7457500001716)"
846,290,410,Bike Lane,CHAMPA ST,19TH ST,N SPEER BLVD,POINT (-104.995399999565 39.7457500001716),POINT (-104.9915 39.7484),"LINESTRING (-104.995399999565 39.7457500001716, -104.9915 39.7484)",0,687.61,"LINESTRING (-104.995399999565 39.7457500001716, -104.9915 39.7484)"
847,410,425,Bike Lane,CHAMPA ST,19TH ST,N SPEER BLVD,POINT (-104.9915 39.7484),POINT (-104.9903 39.7493),"LINESTRING (-104.9915 39.7484, -104.9903 39.7493)",0,221.41,"LINESTRING (-104.9915 39.7484, -104.9903 39.7493)"
848,41,879,Buffered Bike Lane,N ROSLYN WAY,E 32ND AVE TRAF CIR,N SYRACUSE ST,POINT (-104.900839984557 39.7534400099082),POINT (-104.9005 39.7542),"LINESTRING (-104.900839984557 39.7534400099082, -104.9005 39.7542)",1,137.86,"LINESTRING (-104.900839984557 39.7534400099082, -104.9005 39.7542)"
849,879,386,Buffered Bike Lane,N ROSLYN WAY,E 32ND AVE TRAF CIR,N SYRACUSE ST,POINT (-104.9005 39.7542),POINT (-104.9005 39.7577),"LINESTRING (-104.9005 39.7542, -104.9005 39.7577)",1,600.1,"LINESTRING (-104.9005 39.7542, -104.9005 39.7577)"
850,386,271,Buffered Bike Lane,N ROSLYN WAY,E 32ND AVE TRAF CIR,N SYRACUSE ST,POINT (-104.9005 39.7577),POINT (-104.900820000337 39.7582600001613),"LINESTRING (-104.9005 39.7577, -104.900820000337 39.7582600001613)",1,104.93,"LINESTRING (-104.9005 39.7577, -104.900820000337 39.7582600001613)"
